id,height,width,all_diff,total_act,adult_males_dots,subadult_males_dots,adult_females_dots,juveniles_dots,pups_dots,                 adult_males_act,subadult_males_act,adult_females_act,juveniles_act,pups_act
920,3744,5616,1,506,11,2,280,212,2,11,2,280,211,2
921,3328,4992,1,78,1,0,25,51,0,1,0,25,52,0
922,3328,4992,0,21,4,4,7,6,0,4,4,7,6,0
923,3744,5616,0,213,8,2,106,11,86,8,2,106,11,86
924,3328,4992,1,289,23,3,131,8,125,23,3,131,8,124
925,3744,5616,4,82,3,3,18,62,0,3,2,18,59,0
926,3744,5616,1,36,2,0,3,32,0,2,0,3,31,0
928,3328,4992,0,23,1,0,0,22,0,1,0,0,22,0
929,3328,4992,0,76,3,0,23,50,0,3,0,23,50,0
930,3328,4992,0,73,8,0,36,8,21,8,0,36,8,21
931,3744,5616,0,42,3,2,20,17,0,3,2,20,17,0
932,3744,5616,0,101,5,8,21,67,0,5,8,21,67,0
933,3744,5616,1,171,6,7,68,70,21,6,7,68,69,21
934,3328,4992,1,58,4,2,36,17,0,4,2,36,16,0
935,3328,4992,0,1,0,1,0,0,0,0,1,0,0,0
936,3744,5616,0,4,1,0,1,2,0,1,0,1,2,0
937,3744,5616,1,49,4,10,26,10,0,4,9,26,10,0
938,3328,4992,0,4,0,0,4,0,0,0,0,4,0,0
939,3328,4992,0,191,16,3,98,8,66,16,3,98,8,66
940,3744,5616,0,83,2,4,3,74,0,2,4,3,74,0
941,3328,4992,5,91,6,2,47,2,39,5,2,46,1,37
942,3744,5616,0,44,1,6,0,37,0,1,6,0,37,0
943,3328,4992,0,52,1,1,24,26,0,1,1,24,26,0
944,3744,5616,0,6,1,4,1,0,0,1,4,1,0,0
945,3328,4992,0,136,6,0,79,6,45,6,0,79,6,45
